date,notes
5/14/2015,volunteers
5/15/2015,"us, a few beat sheets, Circle 1-8"
5/18/2015,Circles 1-10 with beat sheets
5/21/2015,"Circles 1-12 with beat sheets, rain"
5/23/2015,volunteers
5/26/2015,morning Circles 1-12
5/28/2015,"morning Circles 1-12, volunteers"
6/1/2015,morning Circles 1-12
6/4/2015,"morning Circles 1-12, afternoon, and volunteers"
6/6/2015,volunteers
6/8/2015,Circles 1-10 with beat sheets
6/11/2015,"morning Circles 1-12, afternoon"
6/15/2015,morning Circles 1-12
6/18/2015,"morning Circles 1-12, afternoon, and volunteers"
6/20/2015,"volunteers, morning"
6/22/2015,morning Circles 1-12
6/25/2015,"morning Circles 1-12, afternoon "
6/27/2015,"volunteers, morning"
6/29/2015,morning Circles 1-12
7/2/2015,"morning Circles 1-12, afternoon, and volunteers"
7/6/2015,morning Circles 1-12
7/9/2015,"morning Circles 1-12, afternoon, and volunteers"
7/11/2015,"volunteers, morning"
7/13/2015,morning Circles 1-12
7/16/2015,"morning Circles 1-12, afternoon, and volunteers"
7/18/2015,"volunteers, morning"
7/20/2015,morning Circles 1-12
7/23/2015,"morning Circles 1-12, afternoon, and volunteers, and Amy Wilhite"
7/30/2015,volunteers (afternoon) and Amy Wilhite
