RecordID	Date	Stateroutestop	Station	SurvType	TreeSpecies	LeafArea_pixels	RefArea_pixels	MeasuredFrom	RefType	RefArea_cm2	SpatialUncertainty	Notes	DataEntry
1.00	6/6/2011 0:00:00	2704132.00	A	V	RHMA	829655.00	8409151.00	trace	8.5x11sheet	603.22			AO
2.00	6/24/2011 0:00:00	2704132.00	A	V	PYPU	378939.00	8409151.00	trace	8.5x11sheet	603.22			AO
3.00	5/21/2011 0:00:00	2704132.00	B	V	RHMA	739367.00	8409151.00	trace	8.5x11sheet	603.22			AO
4.00	5/28/2011 0:00:00	2704132.00	B	V	RHMA	575453.00	8409151.00	trace	8.5x11sheet	603.22			AO
5.00	6/6/2011 0:00:00	2704132.00	B	V	RHMA	1193420.00	8409151.00	trace	8.5x11sheet	603.22			AO
6.00	6/24/2011 0:00:00	2704132.00	B	V	RHMA	465637.00	8409151.00	trace	8.5x11sheet	603.22			AO
7.00	5/21/2011 0:00:00	2704132.00	C	V	RHMA	578543.00	8409151.00	trace	8.5x11sheet	603.22			AO
8.00	6/6/2011 0:00:00	2704132.00	C	V	RHMA	758390.00	8409151.00	trace	8.5x11sheet	603.22			AO
9.00	5/21/2011 0:00:00	2704132.00	D	V	CACA	404832.00	8409151.00	trace	8.5x11sheet	603.22			AO
10.00	5/28/2011 0:00:00	2704132.00	D	V	BEAL	595981.00	8409151.00	trace	8.5x11sheet	603.22			AO
11.00	6/6/2011 0:00:00	2704132.00	D	V	CACA	31570.00	8409151.00	trace	8.5x11sheet	603.22			AO
12.00	5/28/2011 0:00:00	2704132.00	E	V	PYPU	670697.00	8409151.00	trace	8.5x11sheet	603.22			AO
13.00	6/6/2011 0:00:00	2704132.00	E	V	AEFL	577780.00	8409151.00	trace	8.5x11sheet	603.22			AO
14.00	5/21/2011 0:00:00	2704132.00	F	V	RHMA	834829.00	8409151.00	trace	8.5x11sheet	603.22			AO
15.00	6/6/2011 0:00:00	2704132.00	F	V	RHMA	851209.00	8409151.00	trace	8.5x11sheet	603.22			AO
